,State,State_index,Action,Reward,Reward_Terms,Next_State
933,"[2, 0, 3, 1, 1]",143,23,0.6847463579973787,"(758242.7977055736, 10500000.0, 0.0, 0.6720224081453192)","[2, 0, 1, 1, 0]"
934,"[2, 0, 1, 1, 0]",134,23,0.7240546185119945,"(758242.7977055736, 3000000.0, -0.0, 0.34686838343422155)","[2, 0, 3, 0, 0]"
935,"[2, 0, 3, 0, 0]",140,109,0.7240546185119945,"(758242.7977055736, 10000.0, -0.0, 0.34686838343422155)","[2, 1, 2, 0, 0]"
936,"[2, 1, 2, 0, 0]",152,11,0.7240546185119945,"(758242.7977055736, 300000000.0, 0.0, 0.34686838343422155)","[2, 0, 0, 1, 1]"
937,"[2, 0, 0, 1, 1]",131,30,0.6876967296635353,"(758242.7977055736, 350000000.0, 0.0, 0.6476172269166118)","[2, 1, 2, 1, 0]"
938,"[2, 1, 2, 1, 0]",154,15,0.724077291077029,"(758242.7977055736, 25000000.0, -0.0, 0.34668083822934675)","[2, 0, 0, 1, 0]"
939,"[2, 0, 0, 1, 0]",130,60,0.724077291077029,"(758242.7977055736, 145000000.0, -0.0, 0.34668083822934675)","[2, 0, 2, 1, 0]"
940,"[2, 0, 2, 1, 0]",138,47,0.724077291077029,"(758242.7977055736, 3500000.0, -0.0, 0.34668083822934675)","[2, 0, 0, 0, 1]"
941,"[2, 0, 0, 0, 1]",129,35,0.6885554814694029,"(758242.7977055736, 7000000.0, 0.0, 0.6405137173170987)","[2, 0, 1, 0, 0]"
942,"[2, 0, 1, 0, 0]",132,12,0.724042739473991,"(758242.7977055736, 2500000.0, -0.0, 0.34696664565610447)","[2, 0, 2, 1, 1]"
943,"[2, 0, 2, 1, 1]",139,74,0.713503530271818,"(758242.7977055736, 3000000.0, 0.0, 0.43414593684057773)","[2, 0, 2, 0, 0]"
944,"[2, 0, 2, 0, 0]",136,12,0.7241860613265414,"(758242.7977055736, 3270000.0, -0.0, 0.3457811015344435)","[2, 0, 3, 0, 1]"
945,"[2, 0, 3, 0, 1]",141,22,0.7140931636293599,"(758242.7977055736, 2500000.0, 0.0, 0.42926854830191663)","[2, 1, 2, 1, 1]"
946,"[2, 1, 2, 1, 1]",155,54,0.7179384425094738,"(758242.7977055736, 2000000.0, 0.0, 0.3974607835309288)","[2, 1, 1, 1, 1]"
947,"[2, 1, 1, 1, 1]",151,29,0.7179384425094738,"(758242.7977055736, 1000000.0, -0.0, 0.3974607835309288)","[2, 2, 1, 1, 0]"
948,"[2, 2, 1, 1, 0]",166,81,0.7254722630567559,"(758242.7977055736, 30000000.0, -0.0, 0.33514176863864914)","[2, 3, 3, 0, 0]"
949,"[2, 3, 3, 0, 0]",188,21,0.7254722630567559,"(758242.7977055736, 2500000.0, 0.0, 0.33514176863864914)","[2, 2, 3, 1, 0]"
950,"[2, 2, 3, 1, 0]",174,104,0.7254722630567559,"(758242.7977055736, 660000.0, 0.0, 0.33514176863864914)","[2, 2, 2, 1, 1]"
951,"[2, 2, 2, 1, 1]",171,54,0.7131781156601346,"(758242.7977055736, 700000.0, 0.0, 0.4368377341702843)","[2, 0, 0, 0, 1]"
